Minerals,SiO2,Al2O3,Fe2O3,Na2O,CaO,MgO,FeO,K2O,P2O5,MnO,Mn2O3,TiO2,H2O,CO2,F,Cl,Li2O,BeO,B2O3,SnO2,C2O3,WO3,CuO,Cu2O,PbO,ZnO,BaO,SrO,VO2,V2O3,V2O5,CrO,Cr2O3,NiO,CoO,SO2,As2O3,As2O5,SO3,S2O5,Sb2O3,La2O3,Ce2O3,Pr2O3,Nd2O3,Sm2O3,Eu2O3,Gd2O3,Tb2O3,Dy2O3,Ho2O3,Er2O3,Tm2O3,Yb2O3,Lu2O3,REE2O3,Sc2O3,Y2O3,HfO2,ZrO2,ThO2,UO2,UO3,U2O3,Ga2O3,Ta2O5,Nb2O5
Tundrite-(Ce),9.49,0,0,9.61,0.36,0,0,0,0,0,0,11.37,0.37,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.45,27.49,2.17,6.27,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36
Mosandrite,26.31,0,0,6.79,18.42,0,0,0,0,0,0,5.25,0,0,7.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18,0,1.35,0,0,0,0,0,0,4.37
Nioboaeschynite-(Ce),0,0,0,0,4.58,0,0,0,0,0,0,5.43,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.26
Kukharenkoite-(Ce),0,0,0,0,0,0,0,0,0,0,0,0,0,21.51,3.1,0,0,0,0,0,0,0,0,0,0,0,49.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deloneite-(Ce),0,0,0,4.88,17.67,0,0,0,33.54,0,0,0,0,0,2.99,0,0,0,0,0,0,0,0,0,0,0,0,16.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coskrenite-(Ce),0,0,0,0,0,0,0,0,0,0,0,0,20.4,0,0,0,0,0,0,0,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.66,0,0,6.92,25.55,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sazhinite-(Ce),55.49,0,0,9.54,0,0,0,0,0,0,0,0,9.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polyakovite-(Ce),19.14,0,4.45,0,0.89,2.57,1.14,0,0,0,0,9.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26,0,0,0,0,0,0,0,0,15.57,24.84,2.63,5.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,4.23
Vitusite-(Ce),0,0,0,23.3,0,0,0,0,35.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.25,24.67,0,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tadzhikite-(Ce),24.06,1.53,0.8,0,22.46,0,0,0,0,0,0,4.8,1.8,0,0,0,0,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65,0,0,0,0,0,0,0,0,0
Ferriallanite-(Ce),28.78,5.65,16.13,0,9.87,0,10.89,0,0,0.81,0,1.82,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluorcaphite,0,0,0,1.15,18.79,0,0,0,31.71,0,0,0,0,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,23.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mottanaite-(Ce),23.86,2.53,3.17,0,25.61,0,0,0,0,0,0,0.79,0.45,0,0.94,0,0,1.99,13.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62,0,0,0,0,0,0
Cappelenite-(Y),13.41,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83,0,0,0,15.54,0,0,0,0,0,0,0,11.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6,0,0,0,0,0,0,0,0,0
Petersenite-(Ce),0,0,0,17.06,2.5,0,0,0,0,0,0,0,0,32.73,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,14.54,24.41,2.45,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vastmanlandite-(Ce),27.12,8.76,2.7,0,4.71,5.6,1.18,0,0.06,0,0,0,1.65,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.84,24.29,2.11,6.46,0.48,0,0.17,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0
Uranpyrochlore,0,0,0,0,7.25,0,0,0,0,0,0,0,1.5,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.96,0,0,0,20.41,27.01
Cerite-(La),20.93,0,0,0,5.16,0.51,1.26,0,2.49,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,38.01,24,0.63,1.47,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aluminocerite-(Ce),24.38,2.51,0.46,0,8.45,0,0,0,0,0,0,0,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.55,23.69,3.63,15.8,4.45,0,3.15,0,0.43,0,0,0,0.11,0,0,0,1.7,0,0,0,0,0,0,0,0,0
Orthojoaquinite-(Ce),34.63,0,0,2.23,0,0,5.18,0,0,0,0,11.51,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,22.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chevkinite-(Ce),19.94,0,3.31,0,3.72,0.67,10.73,0,0,0,0,16.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.92,23.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0
Joaquinite-(Ce),33.87,0,0,2.18,0,0,5.06,0,0,0,0,5.63,1.59,0,0.67,0,0,0,0,0,0,0,0,0,0,0,21.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36
Fergusonite-beta-(Ce),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.28,22.73,5.71,11.65,0,0,0,0,0,0,0,0,0,0,5.82,0,0,0,0,0,0,0,0,0,0,41.42
Vicanite-(Ce),14.11,0,3.13,0.61,17.56,0,0,0,0,0,0,0,0,0,5.21,0,0,0,5.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94,4.5,0,0,0,15.94,22.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.34,0,0,0,0,0,0
Seidite-(Ce),43.82,0,0,11.3,0,0,0,0,0,0,0,7.28,10.84,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daqingshanite-(Ce),0,0,0,0,6.12,0,0,0,12.9,0,0,0,0.65,20,0.35,0,0,0,0,0,0,0,0,0,0,0,5.57,22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,22.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gatelite-(Ce),28.7,14.8,0,0,5.78,1.89,2.02,0,0,0,0,0,1.35,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.63,21.52,1.54,12.61,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
